Cidade,UF,Latitude,Longitude
Alta Floresta D'Oeste,RO,-12.469357701879103,-62.27457065901851
Ariquemes,RO,-9.95182492302589,-62.957274407033
Cabixi,RO,-13.474828209258849,-60.63977728222854
Cacoal,RO,-11.301151072958396,-61.32467985927263
Cerejeiras,RO,-13.203525472643308,-61.26096455059341
Colorado do Oeste,RO,-13.159098935560841,-60.550248319119056
Corumbiara,RO,-12.926566104104344,-61.0916712541991
Costa Marques,RO,-12.14694754944915,-64.05870449045891
Espigão D'Oeste,RO,-11.351132636195691,-60.78480400514564
Guajará-Mirim,RO,-11.304855610514162,-64.53763851558264
Jaru,RO,-10.59220214877577,-62.58472401751141
Ji-Paraná,RO,-10.461557870970056,-61.75719238019935
Machadinho D'Oeste,RO,-9.203763731711094,-62.01030987945821
Nova Brasilândia D'Oeste,RO,-11.642978741224304,-62.280189511726135
Ouro Preto do Oeste,RO,-10.610387944760397,-62.1724583992202
Pimenta Bueno,RO,-11.894274189909035,-60.83048042717454
Porto Velho,RO,-9.15221369455709,-64.30558918650165
Presidente Médici,RO,-11.166224981196413,-61.87794720885956
Rio Crespo,RO,-9.645187509120426,-62.790070319917554
Rolim de Moura,RO,-11.732523811350859,-61.77155023541682
Santa Luzia D'Oeste,RO,-12.026880235455494,-61.70108934909753
Vilhena,RO,-12.093866326761638,-60.2483828358116
São Miguel do Guaporé,RO,-11.614471655556834,-62.983468442927425
Nova Mamoré,RO,-10.381916413933332,-64.62924310447006
Alvorada D'Oeste,RO,-11.311369669428307,-62.54500692601162
Alto Alegre dos Parecis,RO,-12.593246791920034,-61.880725011004515
Alto Paraíso,RO,-9.649224832540947,-63.39429781008053
Buritis,RO,-10.052041015314327,-63.941187114874474
Novo Horizonte do Oeste,RO,-11.681047031785289,-62.083197246063435
Cacaulândia,RO,-10.33156545328663,-62.98726082641784
Campo Novo de Rondônia,RO,-10.484812057987899,-63.799745111146414
Candeias do Jamari,RO,-8.886749664536366,-63.32551765403578
Castanheiras,RO,-11.470775653971483,-61.88007855097548
Chupinguaia,RO,-12.537126763582794,-60.89842738899659
Cujubim,RO,-9.170875792378927,-62.56529349349578
Governador Jorge Teixeira,RO,-10.74790183389262,-63.183969249105644
Itapuã do Oeste,RO,-9.17011499866021,-63.04492914565371
Ministro Andreazza,RO,-11.160239291785695,-61.568958219564124
Mirante da Serra,RO,-11.076812727869351,-62.84796176590822
Monte Negro,RO,-10.210737694213094,-63.37239204616339
Nova União,RO,-10.889316168635725,-62.53235560244261
Parecis,RO,-12.262228068740976,-61.41537185023636
Pimenteiras do Oeste,RO,-13.17340916708063,-61.54540127756671
Primavera de Rondônia,RO,-11.878644832823374,-61.31533209493881
São Felipe D'Oeste,RO,-11.904917608751154,-61.46706882750935
São Francisco do Guaporé,RO,-12.368057933993237,-63.122414987034674
Seringueiras,RO,-11.807032828854535,-63.23072420655317
Teixeirópolis,RO,-10.943443198383093,-62.27976808819359
Theobroma,RO,-10.121714606791222,-62.34248754696861
Urupá,RO,-11.103939954072807,-62.42439888340397
Vale do Anari,RO,-9.73232961117837,-61.93902317882472
Vale do Paraíso,RO,-10.384149182119177,-62.094023215600394
Acrelândia,AC,-9.933870732911936,-66.95017191308875
Assis Brasil,AC,-10.77965409489983,-70.00561550669515
Brasiléia,AC,-10.74727809866389,-69.20751667101146
Bujari,AC,-9.61396631349786,-68.17373011503196
Capixaba,AC,-10.474175705765823,-67.83584637397585
Cruzeiro do Sul,AC,-7.971675629806126,-72.7546641808896
Epitaciolândia,AC,-10.88911418345869,-68.61823520889249
