Coletânea,Latitude,Longitude,Cidade,Participantes,Compradores,PorcentagemCompradores,LivrosVendidos,Total
7ª Coletânea de Poemas-Sonetos-Cordéis,-32.21682558463208,-52.4033453973676,Rio Grande,1,1,1.0,3.0,145.35
7ª Coletânea de Poemas-Sonetos-Cordéis,-28.651306089383947,-49.12583202300739,Sangão,1,1,1.0,5.0,230.0
7ª Coletânea de Poemas-Sonetos-Cordéis,-27.17324991181695,-48.51748584687266,Bombinhas,1,1,1.0,5.0,225.34
7ª Coletânea de Poemas-Sonetos-Cordéis,-26.828725708400757,-48.727410045831725,Navegantes,1,1,1.0,1.0,58.0
7ª Coletânea de Poemas-Sonetos-Cordéis,-24.2792418799444,-47.01299429546972,Peruíbe,1,1,1.0,1.0,58.010000000000005
7ª Coletânea de Poemas-Sonetos-Cordéis,-24.09223450995626,-46.83451904131375,Itanhaém,1,1,1.0,2.0,98.31
7ª Coletânea de Poemas-Sonetos-Cordéis,-24.015588165911947,-46.52271559086033,Praia Grande,1,1,1.0,1.0,57.07
7ª Coletânea de Poemas-Sonetos-Cordéis,-23.81293441083361,-46.55079323325453,São Bernardo do Campo,1,1,1.0,2.0,92.65
7ª Coletânea de Poemas-Sonetos-Cordéis,-23.70106752053417,-46.40279870449981,Ribeirão Pires,1,1,1.0,1.0,40.01
7ª Coletânea de Poemas-Sonetos-Cordéis,-23.649772734594887,-46.64805277523613,São Paulo,3,3,1.0,5.0,239.51
7ª Coletânea de Poemas-Sonetos-Cordéis,-23.507923235518877,-47.2292840292988,Mairinque,1,1,1.0,2.0,98.28999999999999
7ª Coletânea de Poemas-Sonetos-Cordéis,-23.123212673011,-46.58677921253795,Atibaia,1,1,1.0,3.0,135.89
7ª Coletânea de Poemas-Sonetos-Cordéis,-22.923153344908297,-43.45097574711059,Rio de Janeiro,3,3,1.0,8.0,401.44000000000005
7ª Coletânea de Poemas-Sonetos-Cordéis,-22.915311736386744,-42.8169709581896,Maricá,1,1,1.0,1.0,61.96
7ª Coletânea de Poemas-Sonetos-Cordéis,-22.914179768863,-45.237218532269935,Aparecida,1,1,1.0,1.0,57.07
7ª Coletânea de Poemas-Sonetos-Cordéis,-22.88369221162565,-47.04377412585483,Campinas,1,1,1.0,1.0,51.81
7ª Coletânea de Poemas-Sonetos-Cordéis,-22.563631597382173,-51.52167571504764,Narandiba,1,1,1.0,3.0,139.25
7ª Coletânea de Poemas-Sonetos-Cordéis,-22.373860035183437,-47.57988506425317,Rio Claro,1,1,1.0,1.0,57.07
7ª Coletânea de Poemas-Sonetos-Cordéis,-21.745403092737654,-43.46472955075851,Juiz de Fora,1,1,1.0,1.0,58.0
7ª Coletânea de Poemas-Sonetos-Cordéis,-21.210785854051444,-47.821289177547385,Ribeirão Preto,1,1,1.0,1.0,57.07
7ª Coletânea de Poemas-Sonetos-Cordéis,-20.303955023171984,-39.08952310984636,Vitória,1,1,1.0,1.0,58.0
7ª Coletânea de Poemas-Sonetos-Cordéis,-19.9026455188955,-43.959976375450296,Belo Horizonte,1,1,1.0,1.0,58.05
7ª Coletânea de Poemas-Sonetos-Cordéis,-19.58047625198763,-47.97721950445308,Uberaba,1,1,1.0,1.0,58.0
7ª Coletânea de Poemas-Sonetos-Cordéis,-16.08465951064858,-47.98851599965194,Valparaíso de Goiás,1,1,1.0,1.0,58.010000000000005
7ª Coletânea de Poemas-Sonetos-Cordéis,-16.0807641634827,-49.822845261466384,Itaberaí,1,1,1.0,30.0,1200.0
7ª Coletânea de Poemas-Sonetos-Cordéis,-15.780989331973744,-47.79684222599881,Brasília,2,2,1.0,18.0,791.03
7ª Coletânea de Poemas-Sonetos-Cordéis,-13.218279698566825,-44.38002189116541,Santa Maria da Vitória,1,1,1.0,3.0,148.21
7ª Coletânea de Poemas-Sonetos-Cordéis,-12.21114842373132,-39.77713152037757,Ipirá,1,1,1.0,5.0,233.43
7ª Coletânea de Poemas-Sonetos-Cordéis,-10.994173586029795,-37.09490636235426,Aracaju,1,1,1.0,1.0,58.0
7ª Coletânea de Poemas-Sonetos-Cordéis,-10.220124521865616,-48.15209579471437,Palmas,2,2,1.0,2.0,116.08
7ª Coletânea de Poemas-Sonetos-Cordéis,-8.039333909339504,-34.9330874014771,Recife,1,1,1.0,2.0,107.21000000000001
7ª Coletânea de Poemas-Sonetos-Cordéis,-7.7950253204515665,-36.64653588244566,Congo,1,1,1.0,1.0,58.0
7ª Coletânea de Poemas-Sonetos-Cordéis,-6.739717082656657,-38.22521530761006,Sousa,1,1,1.0,1.0,58.0
7ª Coletânea de Poemas-Sonetos-Cordéis,-5.803168491981682,-35.22884262994936,Natal,1,1,1.0,1.0,58.0
7ª Coletânea de Poemas-Sonetos-Cordéis,-2.6336837953234915,-44.28090324284821,São Luís,1,1,1.0,1.0,58.0
7ª Coletânea de Poemas-Sonetos-Cordéis,-2.505227892705939,-44.12406872559987,Paço do Lumiar,1,1,1.0,1.0,58.0
7ª Coletânea de Poemas-Sonetos-Cordéis,-1.2407089366917534,-48.4599103618659,Belém,1,1,1.0,1.0,58.0
A força da Amizade,-30.09520265051514,-51.16455566334894,Porto Alegre,1,1,1.0,3.0,120.75
A força da Amizade,-29.734725316985852,-51.04905708151664,Novo Hamburgo,1,1,1.0,2.0,87.75
A força da Amizade,-27.17324991181695,-48.51748584687266,Bombinhas,1,1,1.0,10.0,366.27
A força da Amizade,-24.2792418799444,-47.01299429546972,Peruíbe,1,1,1.0,1.0,50.11
A força da Amizade,-24.09223450995626,-46.83451904131375,Itanhaém,1,1,1.0,3.0,117.28999999999999
A força da Amizade,-23.727924883403407,-46.44161157309538,Santo André,1,1,1.0,1.0,44.81
A força da Amizade,-23.649772734594887,-46.64805277523613,São Paulo,3,3,1.0,9.0,337.35
A força da Amizade,-23.507923235518877,-47.2292840292988,Mairinque,1,1,1.0,1.0,50.07
A força da Amizade,-23.21926864550553,-46.82490871975543,Várzea Paulista,1,1,1.0,1.0,50.07
A força da Amizade,-22.93832004855557,-46.55594884151272,Bragança Paulista,1,1,1.0,3.0,117.28
A força da Amizade,-22.923153344908297,-43.45097574711059,Rio de Janeiro,1,1,1.0,3.0,124.71000000000001
A força da Amizade,-22.914179768863,-45.237218532269935,Aparecida,1,1,1.0,3.0,117.28
A força da Amizade,-22.68668058662491,-43.50181763071247,Nova Iguaçu,1,1,1.0,1.0,54.96
A força da Amizade,-22.373860035183437,-47.57988506425317,Rio Claro,1,1,1.0,1.0,50.09
A força da Amizade,-22.253921120380333,-49.12614687946096,Bauru,2,2,1.0,3.0,134.35
A força da Amizade,-21.745403092737654,-43.46472955075851,Juiz de Fora,1,1,1.0,1.0,51.0
A força da Amizade,-20.303955023171984,-39.08952310984636,Vitória,1,1,1.0,1.0,51.05
A força da Amizade,-19.9026455188955,-43.959976375450296,Belo Horizonte,3,3,1.0,5.0,222.8
A força da Amizade,-19.887161525004213,-44.08400420892467,Contagem,1,1,1.0,1.0,51.05
A força da Amizade,-15.780989331973744,-47.79684222599881,Brasília,2,2,1.0,4.0,171.75
