Coletânea,UF,Participantes,Compradores,PorcentagemCompradores,LivrosVendidos,Total
7ª Coletânea de Poemas-Sonetos-Cordéis,BA,2.0,2.0,1.0,8.0,381.64
7ª Coletânea de Poemas-Sonetos-Cordéis,DF,2.0,2.0,1.0,18.0,791.03
7ª Coletânea de Poemas-Sonetos-Cordéis,ES,1.0,1.0,1.0,1.0,58.0
7ª Coletânea de Poemas-Sonetos-Cordéis,GO,2.0,2.0,1.0,31.0,1258.01
7ª Coletânea de Poemas-Sonetos-Cordéis,MA,2.0,2.0,1.0,2.0,116.0
7ª Coletânea de Poemas-Sonetos-Cordéis,MG,3.0,3.0,1.0,3.0,174.05
7ª Coletânea de Poemas-Sonetos-Cordéis,PA,1.0,1.0,1.0,1.0,58.0
7ª Coletânea de Poemas-Sonetos-Cordéis,PB,2.0,2.0,1.0,2.0,116.0
7ª Coletânea de Poemas-Sonetos-Cordéis,PE,1.0,1.0,1.0,2.0,107.21000000000001
7ª Coletânea de Poemas-Sonetos-Cordéis,RJ,4.0,4.0,1.0,9.0,463.40000000000003
7ª Coletânea de Poemas-Sonetos-Cordéis,RN,1.0,1.0,1.0,1.0,58.0
7ª Coletânea de Poemas-Sonetos-Cordéis,RS,1.0,1.0,1.0,3.0,145.35
7ª Coletânea de Poemas-Sonetos-Cordéis,SC,3.0,3.0,1.0,11.0,513.34
7ª Coletânea de Poemas-Sonetos-Cordéis,SE,1.0,1.0,1.0,1.0,58.0
7ª Coletânea de Poemas-Sonetos-Cordéis,SP,15.0,15.0,1.0,24.0,1182.01
7ª Coletânea de Poemas-Sonetos-Cordéis,TO,2.0,2.0,1.0,2.0,116.08
A força da Amizade,DF,2.0,2.0,1.0,4.0,171.75
A força da Amizade,ES,1.0,1.0,1.0,1.0,51.05
A força da Amizade,MG,5.0,5.0,1.0,7.0,324.85
A força da Amizade,PE,1.0,1.0,1.0,1.0,51.03
A força da Amizade,RJ,2.0,2.0,1.0,4.0,179.67000000000002
A força da Amizade,RN,1.0,1.0,1.0,2.0,98.65
A força da Amizade,RS,1.0,1.0,1.0,3.0,120.75
A força da Amizade,SC,1.0,1.0,1.0,10.0,366.27
A força da Amizade,SP,13.0,13.0,1.0,26.0,1068.7
A força da Amizade,TO,1.0,1.0,1.0,1.0,51.010000000000005
A força da Amizade,rs,1.0,1.0,1.0,2.0,87.75
Aconteceu na Olimpíada,MA,1.0,1.0,1.0,1.0,111.34
Aconteceu na Olimpíada,MG,4.0,4.0,1.0,11.0,363.73
Aconteceu na Olimpíada,RJ,1.0,1.0,1.0,1.0,46.96
Aconteceu na Olimpíada,SP,5.0,5.0,1.0,8.0,275.67
Aconteceu num Carnaval,BA,1.0,1.0,1.0,1.0,59.6
Aconteceu num Carnaval,DF,1.0,1.0,1.0,1.0,59.65
Aconteceu num Carnaval,ES,1.0,1.0,1.0,1.0,59.6
Aconteceu num Carnaval,MG,6.0,6.0,1.0,8.0,441.95
Aconteceu num Carnaval,RJ,9.0,9.0,1.0,21.0,1064.49
Aconteceu num Carnaval,RN,1.0,1.0,1.0,3.0,155.85
Aconteceu num Carnaval,SC,2.0,2.0,1.0,3.0,162.79
Aconteceu num Carnaval,SP,16.0,16.0,1.0,34.0,1603.06
Aconteceu num Carnaval,TO,2.0,2.0,1.0,4.0,221.01999999999998
Carta para uma Mãe,BA,1.0,1.0,1.0,3.0,130.8
Carta para uma Mãe,DF,1.0,1.0,1.0,2.0,91.75
Carta para uma Mãe,ES,1.0,1.0,1.0,3.0,126.75
Carta para uma Mãe,MA,1.0,1.0,1.0,1.0,216.57999999999998
Carta para uma Mãe,MG,6.0,6.0,1.0,11.0,680.24
Carta para uma Mãe,MT,1.0,1.0,1.0,1.0,54.6
Carta para uma Mãe,PB,1.0,1.0,1.0,1.0,54.6
Carta para uma Mãe,PE,1.0,1.0,1.0,3.0,132.2
Carta para uma Mãe,PR,1.0,1.0,1.0,1.0,54.6
Carta para uma Mãe,RJ,2.0,2.0,1.0,3.0,154.12
Carta para uma Mãe,RO,1.0,1.0,1.0,1.0,54.6
Carta para uma Mãe,SC,3.0,3.0,1.0,18.0,711.19
Carta para uma Mãe,SP,17.0,17.0,1.0,36.0,1523.78
Carta para uma Mãe,TO,1.0,1.0,1.0,2.0,97.21000000000001
Centenario Millor,AP,1.0,1.0,1.0,3.0,137.64
Centenario Millor,CE,1.0,1.0,1.0,1.0,53.03
Centenario Millor,MA,1.0,1.0,1.0,1.0,53.010000000000005
Centenario Millor,MG,4.0,4.0,1.0,8.0,361.66
Centenario Millor,MT,1.0,1.0,1.0,1.0,53.03
Centenario Millor,PR,1.0,1.0,1.0,1.0,53.05
Centenario Millor,RJ,8.0,8.0,1.0,37.0,1469.49
Centenario Millor,RN,1.0,1.0,1.0,6.0,245.85
Centenario Millor,RS,1.0,1.0,1.0,3.0,128.19
Centenario Millor,SC,2.0,2.0,1.0,11.0,439.27
Centenario Millor,SP,10.0,10.0,1.0,16.0,714.21
Centenário do Dia da Criança,BA,2.0,2.0,1.0,17.0,629.13
Centenário do Dia da Criança,MG,5.0,5.0,1.0,18.0,710.29
Centenário do Dia da Criança,MT,1.0,1.0,1.0,1.0,52.6
Centenário do Dia da Criança,RJ,5.0,5.0,1.0,10.0,451.05
Centenário do Dia da Criança,RN,1.0,1.0,1.0,1.0,52.6
Centenário do Dia da Criança,RS,1.0,1.0,1.0,5.0,190.34
Centenário do Dia da Criança,SC,2.0,2.0,1.0,5.0,209.94
Centenário do Dia da Criança,SP,7.0,7.0,1.0,9.0,408.02
Centenário do Dia da Criança,TO,1.0,1.0,1.0,1.0,52.6
Clima Extremo,AC,1.0,1.0,1.0,2.0,109.15
Clima Extremo,DF,1.0,1.0,1.0,1.0,56.75
Clima Extremo,MG,5.0,5.0,1.0,10.0,460.95
Clima Extremo,MT,1.0,1.0,1.0,1.0,54.6
Clima Extremo,PR,3.0,3.0,1.0,6.0,274.57
Clima Extremo,RJ,5.0,5.0,1.0,21.0,863.02
Clima Extremo,RN,3.0,3.0,1.0,4.0,211.85000000000002
Clima Extremo,RS,3.0,3.0,1.0,9.0,382.46000000000004
Clima Extremo,SC,1.0,1.0,1.0,1.0,54.61
Clima Extremo,SP,4.0,4.0,1.0,4.0,197.76
Clima Extremo,TO,1.0,1.0,1.0,1.0,54.65
Contos de Mistério e Suspense,BA,1.0,1.0,1.0,3.0,222.21
Contos de Mistério e Suspense,DF,2.0,2.0,1.0,6.0,285.65999999999997
Contos de Mistério e Suspense,ES,1.0,1.0,1.0,3.0,145.37
Contos de Mistério e Suspense,MG,2.0,2.0,1.0,4.0,203.38
Contos de Mistério e Suspense,PE,1.0,1.0,1.0,2.0,107.22
Contos de Mistério e Suspense,PR,3.0,3.0,1.0,9.0,428.77
Contos de Mistério e Suspense,RJ,3.0,3.0,1.0,26.0,1148.85
Contos de Mistério e Suspense,RS,4.0,4.0,1.0,8.0,403.84
Contos de Mistério e Suspense,SC,2.0,2.0,1.0,18.0,804.0
Contos de Mistério e Suspense,SP,13.0,13.0,1.0,36.0,1654.05
Contos de Mistério e Suspense,TO,1.0,1.0,1.0,1.0,371.71000000000004
Lembranças de Família,BA,3.0,3.0,1.0,6.0,310.61
Lembranças de Família,CE,1.0,1.0,1.0,1.0,58.03
Lembranças de Família,DF,2.0,2.0,1.0,2.0,116.01
Lembranças de Família,ES,3.0,3.0,1.0,10.0,471.94
Lembranças de Família,MA,1.0,1.0,1.0,1.0,58.0
Lembranças de Família,MG,7.0,7.0,1.0,12.0,625.94
Lembranças de Família,MS,1.0,1.0,1.0,3.0,143.9
Lembranças de Família,PB,1.0,1.0,1.0,1.0,58.07
Lembranças de Família,PE,1.0,1.0,1.0,3.0,149.87
Lembranças de Família,PI,1.0,1.0,1.0,1.0,58.09
Lembranças de Família,PR,3.0,3.0,1.0,3.0,174.03
Lembranças de Família,RJ,7.0,7.0,1.0,25.0,1199.17
Lembranças de Família,RN,1.0,1.0,1.0,2.0,112.65
Lembranças de Família,RS,1.0,1.0,1.0,3.0,145.34
Lembranças de Família,SC,1.0,1.0,1.0,10.0,436.27
Lembranças de Família,SP,18.0,18.0,1.0,40.0,1955.54
Lembranças de Família,TO,2.0,2.0,1.0,6.0,299.74
"Livros, Autores e Estilos",BA,1.0,1.0,1.0,1.0,51.03
"Livros, Autores e Estilos",DF,1.0,1.0,1.0,1.0,51.0
"Livros, Autores e Estilos",ES,1.0,1.0,1.0,1.0,51.0
"Livros, Autores e Estilos",MG,2.0,2.0,1.0,5.0,208.34
"Livros, Autores e Estilos",PB,2.0,2.0,1.0,4.0,182.64
"Livros, Autores e Estilos",RN,1.0,1.0,1.0,5.0,200.85
"Livros, Autores e Estilos",SP,11.0,11.0,1.0,23.0,929.92
"Livros, Autores e Estilos",TO,1.0,1.0,1.0,1.0,51.05
Meu Escritor Favorito,AP,1.0,1.0,1.0,2.0,102.64
Meu Escritor Favorito,BA,2.0,2.0,1.0,4.0,187.81
Meu Escritor Favorito,ES,1.0,1.0,1.0,1.0,54.61
Meu Escritor Favorito,MA,1.0,1.0,1.0,1.0,140.34
Meu Escritor Favorito,MG,6.0,6.0,1.0,7.0,366.2
Meu Escritor Favorito,MS,1.0,1.0,1.0,3.0,126.75
Meu Escritor Favorito,MT,1.0,1.0,1.0,1.0,54.6
Meu Escritor Favorito,PR,2.0,2.0,1.0,6.0,254.95999999999998
Meu Escritor Favorito,RJ,3.0,3.0,1.0,4.0,209.63
Meu Escritor Favorito,RS,1.0,1.0,1.0,3.0,128.91
Meu Escritor Favorito,SC,2.0,2.0,1.0,6.0,254.94
Meu Escritor Favorito,SP,8.0,8.0,1.0,10.0,472.84
Natal dos Sonhos,BA,1.0,1.0,1.0,1.0,54.010000000000005
Natal dos Sonhos,ES,1.0,1.0,1.0,7.0,280.56
Natal dos Sonhos,MA,1.0,1.0,1.0,1.0,54.09
Natal dos Sonhos,MG,3.0,3.0,1.0,6.0,282.53
Natal dos Sonhos,MT,1.0,1.0,1.0,2.0,97.81
Natal dos Sonhos,PR,1.0,1.0,1.0,1.0,54.0
Natal dos Sonhos,RJ,3.0,3.0,1.0,5.0,243.99
Natal dos Sonhos,RN,1.0,1.0,1.0,1.0,136.95
Natal dos Sonhos,RS,1.0,1.0,1.0,3.0,131.91
Natal dos Sonhos,SC,2.0,2.0,1.0,2.0,108.04
Natal dos Sonhos,SP,13.0,13.0,1.0,26.0,1144.88
Natal dos Sonhos,TO,1.0,1.0,1.0,25.0,900.0
Nossos Dons,BA,1.0,1.0,1.0,1.0,51.010000000000005
Nossos Dons,MG,3.0,3.0,1.0,4.0,191.29
Nossos Dons,PR,2.0,2.0,1.0,11.0,413.7
Nossos Dons,RJ,3.0,3.0,1.0,6.0,272.85
Nossos Dons,RN,2.0,2.0,1.0,4.0,182.72
Nossos Dons,SC,5.0,5.0,1.0,15.0,605.01
Nossos Dons,SP,11.0,11.0,1.0,22.0,891.3299999999999
Nossos Dons,TO,1.0,1.0,1.0,1.0,51.07
Nossos Pais,DF,3.0,3.0,1.0,5.0,238.10999999999999
Nossos Pais,ES,1.0,1.0,1.0,1.0,54.6
Nossos Pais,MG,6.0,6.0,1.0,9.0,442.02
Nossos Pais,MS,1.0,1.0,1.0,4.0,165.35
